asb,"asset_type","cis_control","cis_safeguard_id",description,ig1,ig2,ig3,recommendation,relationship,"security_function","security_principal",title
"PV-5",Users,5,"5.5","Establish and maintain an inventory of service accounts. The inventory, at a minimum, must contain department owner, review date, and purpose. Perform service account reviews to validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently.",0,1,1,"Perform vulnerability assessments",Subset,Identify,"Perform vulnerabilities assessment for your cloud resources at all tiers in a fixed schedule or when on demand. Track and compare the scan results to verify the vulnerabilities are remediated. The assessment should include all type of vulnerabilities such as vulnerabilities in Azure services, network, web, operating systems, misconfigurations, and so on.

Be aware of the potential risks associated with the privileged access used by the vulnerability scanners. Follow the privileged access security best practice to secure any administrative accounts used for the scanning.","Establish and Maintain an Inventory of Service Accounts"
"GS-6",Users,5,"5.6","Centralize account management through a directory or identity service.",0,1,1,"Define and implement identity and privileged access strategy",Superset,Protect,"N/A
","Centralize Account Management"
"PA-3",Users,6,"6.1","Establish and follow a process, preferably automated, for granting access to enterprise assets upon new hire, rights grant, or role change of a user.",1,1,1,"Manage identity and access lifecycle",Subset,Protect,"Use an automated process or technical control to manage the identity and access lifecycle including the request, review, approval, provision, and provision. ","Establish an Access Granting Process"
"PA-8",Users,6,"6.1","Establish and follow a process, preferably automated, for granting access to enterprise assets upon new hire, rights grant, or role change of a user.",1,1,1,"Choose approval process for third-party support

",Superset,Protect,"Establish an approval process and access path for requesting and approving vendor support request and temporary access to your data through a secure channel.","Establish an Access Granting Process"
"PA-3",Users,6,"6.2","Establish and follow a process, preferably automated, for revoking access to enterprise assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user. Disabling accounts, instead of deleting accounts, may be necessary to preserve audit trails.",1,1,1,"Manage identity and access lifecycle",Subset,Protect,"Use an automated process or technical control to manage the identity and access lifecycle including the request, review, approval, provision, and provision. ","Establish an Access Revoking Process"
"PA-8",Users,6,"6.2","Establish and follow a process, preferably automated, for revoking access to enterprise assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user. Disabling accounts, instead of deleting accounts, may be necessary to preserve audit trails.",1,1,1,"Choose approval process for third-party support

",Superset,Protect,"Establish an approval process and access path for requesting and approving vendor support request and temporary access to your data through a secure channel.","Establish an Access Revoking Process"
"IM-6",Users,6,"6.3","Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this Safeguard.",1,1,1,"Use strong authentication controls",Subset,Protect,"Enforce strong authentication controls (strong passwordless authentication or multi-factor authentication) with your centralized identity and authentication management system for all access to resources. Authentication based on password credentials alone is considered legacy as it is insecure and does not stand up to popular attack methods. 

When deploying strong authentication, configure administrators and privileged users first to ensure the highest level of the strong authentication method, quickly followed by rolling out the appropriate strong authentication policy to all users.

Note: If legacy password-based authentication is required for legacy applications and scenarios, ensure password security best practices such as complexity requirements, are followed. ","Require MFA for Externally-Exposed Applications"
"IM-6",Users,6,"6.4","Require MFA for remote network access.",1,1,1,"Use strong authentication controls",Subset,Protect,"Enforce strong authentication controls (strong passwordless authentication or multi-factor authentication) with your centralized identity and authentication management system for all access to resources. Authentication based on password credentials alone is considered legacy as it is insecure and does not stand up to popular attack methods. 

When deploying strong authentication, configure administrators and privileged users first to ensure the highest level of the strong authentication method, quickly followed by rolling out the appropriate strong authentication policy to all users.

Note: If legacy password-based authentication is required for legacy applications and scenarios, ensure password security best practices such as complexity requirements, are followed. ","Require MFA for Remote Network Access"
"IM-7",Users,6,"6.4","Require MFA for remote network access.",1,1,1,"Restrict resource access based on  conditions",Subset,Protect,"Explicitly validate trusted signals to allow or deny user access to resources as part of a zero-trust access model. Signals to validate should include strong authentication of user account, behavioral analytics of user account, device trustworthiness, user or group membership, locations and so on.","Require MFA for Remote Network Access"
"IM-2",Users,6,"6.5","Require MFA for all administrative access accounts, where supported, on all enterprise assets, whether managed on-site or through a third-party provider.",1,1,1,"Protect identity and authentication system",Superset,Protect,"Secure your identity and authentication system as a high priority in your organization's cloud security practice. Common security controls include the follow aspects: 
- Restrict privileged roles and accounts
- Require strong authentication for all privileged access
- Monitor and audit high risk activities","Require MFA for Administrative Access"
"GS-6",Users,6,"6.5","Require MFA for all administrative access accounts, where supported, on all enterprise assets, whether managed on-site or through a third-party provider.",1,1,1,"Define and implement identity and privileged access strategy",Subset,Protect,"N/A
","Require MFA for Administrative Access"
,Users,6,"6.6","Establish and maintain an inventory of the enterprise’s authentication and authorization systems, including those hosted on-site or at a remote service provider. Review and update the inventory, at a minimum, annually, or more frequently.",0,1,1,,,Identify,,"Establish and Maintain an Inventory of Authentication and Authorization Systems"
"IM-1",Users,6,"6.7","Centralize access control for all enterprise assets through a directory service or SSO provider, where supported.",0,1,1,"Use centralized identity and authentication system",Equivalent,Protect,"Use a centralized identity and authentication system to govern organization's identities and authentications for cloud and non-cloud resources. 
","Centralize Access Control"
"IM-9",Users,6,"6.7","Centralize access control for all enterprise assets through a directory service or SSO provider, where supported.",0,1,1,"Secure user access to  existing applications",Subset,Protect,"In a hybrid environment where you have on-premises applications or non-native cloud applications using legacy authentication, consider solutions such as cloud access security broker (CASB), application proxy, single sign-on (SSO)  to govern the access to these applications for the following benefits:
- Enforce a centralized strong authentication
- Monitor and control risky end-user activities 
- Monitor and remediate risky legacy applications activities
- Detect and prevent sensitive data transmission","Centralize Access Control"
"GS-6",Users,6,"6.7","Centralize access control for all enterprise assets through a directory service or SSO provider, where supported.",0,1,1,"Define and implement identity and privileged access strategy",Subset,Protect,"N/A
","Centralize Access Control"
"PA-1",Data,6,"6.8","Define and maintain role-based access control, through determining and documenting the access rights necessary for each role within the enterprise to successfully carry out its assigned duties. Perform access control reviews of enterprise assets to validate that all privileges are authorized, on a recurring schedule at a minimum annually, or more frequently.",0,0,1,"Separate and limit highly privileged/administrative users",Superset,Protect,"Ensure you are identifying all high business impact accounts in your cloud's control plane, management plane, and data/workload plane. Limit the number of privileged/administrative accounts.

Ensure to assign privileged accounts with different roles based on the job functions and distinguish these privileged accounts from the regular accounts used for non-privileged tasks. ","Define and Maintain Role-Based Access Control"
"PA-7",Data,6,"6.8","Define and maintain role-based access control, through determining and documenting the access rights necessary for each role within the enterprise to successfully carry out its assigned duties. Perform access control reviews of enterprise assets to validate that all privileges are authorized, on a recurring schedule at a minimum annually, or more frequently.",0,0,1,"Follow just enough administration (least privilege) principle",Superset,Protect,"Follow the just enough administration (least privilege) principle to manage the permission at fine-grained level. Use features such as role-based access control (RBAC) to manage  resource access through role assignments.","Define and Maintain Role-Based Access Control"
"PV-5",Applications,7,"7.1","Establish and maintain a documented vulnerability management process for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Perform vulnerability assessments",Superset,Protect,"Perform vulnerabilities assessment for your cloud resources at all tiers in a fixed schedule or when on demand. Track and compare the scan results to verify the vulnerabilities are remediated. The assessment should include all type of vulnerabilities such as vulnerabilities in Azure services, network, web, operating systems, misconfigurations, and so on.

Be aware of the potential risks associated with the privileged access used by the vulnerability scanners. Follow the privileged access security best practice to secure any administrative accounts used for the scanning.","Establish and Maintain a Vulnerability Management Process"
"PV-6",Applications,7,"7.2","Establish and maintain a risk-based remediation strategy documented in a remediation process, with monthly, or more frequent, reviews.",1,1,1,"Rapidly and automatically remediate  vulnerabilities",Subset,Respond,"Rapidly and automatically deploy patches and updates to remediate vulnerabilities in your cloud resources. Use the appropriate risk-based approach to prioritize the remediation of the vulnerabilities, e.g., more severe vulnerabilities in a higher value asset should be addressed as a higher priority. ","Establish and Maintain a Remediation Process"
"PV-6",Applications,7,"7.3","Perform operating system updates on enterprise assets through automated patch management on a monthly, or more frequent, basis.",1,1,1,"Rapidly and automatically remediate  vulnerabilities",Subset,Protect,"Rapidly and automatically deploy patches and updates to remediate vulnerabilities in your cloud resources. Use the appropriate risk-based approach to prioritize the remediation of the vulnerabilities, e.g., more severe vulnerabilities in a higher value asset should be addressed as a higher priority. ","Perform Automated Operating System Patch Management"
"PV-6",Applications,7,"7.4","Perform application updates on enterprise assets through automated patch management on a monthly, or more frequent, basis.",1,1,1,"Rapidly and automatically remediate  vulnerabilities",Subset,Protect,"Rapidly and automatically deploy patches and updates to remediate vulnerabilities in your cloud resources. Use the appropriate risk-based approach to prioritize the remediation of the vulnerabilities, e.g., more severe vulnerabilities in a higher value asset should be addressed as a higher priority. ","Perform Automated Application Patch Management"
"DS-6",Applications,7,"7.5","Perform automated vulnerability scans of internal enterprise assets on a quarterly, or more frequent, basis. Conduct both authenticated and unauthenticated scans, using a SCAP-compliant vulnerability scanning tool.",0,1,1,"Enforce security of workload throughout DevOps lifecycle",Superset,Identify,"Ensure the workload is secured throughout the entire lifecycle in development, testing, and deployment stage. Use Azure Security Benchmark to evaluate the controls (such as network security, identity management, privileged access and so on) that can be set as guardrails by default or shift left prior to the deployment stage. In particular, ensure the following controls are in place in your DevOps process: 
- Automate the deployment by using Azure or third-party tooling in the CI/CD workflow, infrastructure management (infrastructure as code), and testing to reduce human error and attack surface. 
- Ensure VM, container images and other artifacts are secure from malicious manipulation. 
- Scan the workload artifacts (i.e., container image, dependencies, SAST and DAST scan) prior to the deployment in the CI/CD workflow
- Deploy vulnerability assessment and threat detection capability into the production environment and continuously use these capabilities in the run-time.","Perform Automated Vulnerability Scans of Internal Enterprise Assets"
"PV-5",Applications,7,"7.5","Perform automated vulnerability scans of internal enterprise assets on a quarterly, or more frequent, basis. Conduct both authenticated and unauthenticated scans, using a SCAP-compliant vulnerability scanning tool.",0,1,1,"Perform vulnerability assessments",Subset,Identify,"Perform vulnerabilities assessment for your cloud resources at all tiers in a fixed schedule or when on demand. Track and compare the scan results to verify the vulnerabilities are remediated. The assessment should include all type of vulnerabilities such as vulnerabilities in Azure services, network, web, operating systems, misconfigurations, and so on.

Be aware of the potential risks associated with the privileged access used by the vulnerability scanners. Follow the privileged access security best practice to secure any administrative accounts used for the scanning.","Perform Automated Vulnerability Scans of Internal Enterprise Assets"
"PV-5",Applications,7,"7.6","Perform automated vulnerability scans of externally-exposed enterprise assets using a SCAP-compliant vulnerability scanning tool. Perform scans on a monthly, or more frequent, basis. ",0,1,1,"Perform vulnerability assessments",Subset,Identify,"Perform vulnerabilities assessment for your cloud resources at all tiers in a fixed schedule or when on demand. Track and compare the scan results to verify the vulnerabilities are remediated. The assessment should include all type of vulnerabilities such as vulnerabilities in Azure services, network, web, operating systems, misconfigurations, and so on.

Be aware of the potential risks associated with the privileged access used by the vulnerability scanners. Follow the privileged access security best practice to secure any administrative accounts used for the scanning.","Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets"
"DS-6",Applications,7,"7.6","Perform automated vulnerability scans of externally-exposed enterprise assets using a SCAP-compliant vulnerability scanning tool. Perform scans on a monthly, or more frequent, basis. ",0,1,1,"Enforce security of workload throughout DevOps lifecycle",Superset,Identify,"Ensure the workload is secured throughout the entire lifecycle in development, testing, and deployment stage. Use Azure Security Benchmark to evaluate the controls (such as network security, identity management, privileged access and so on) that can be set as guardrails by default or shift left prior to the deployment stage. In particular, ensure the following controls are in place in your DevOps process: 
- Automate the deployment by using Azure or third-party tooling in the CI/CD workflow, infrastructure management (infrastructure as code), and testing to reduce human error and attack surface. 
- Ensure VM, container images and other artifacts are secure from malicious manipulation. 
- Scan the workload artifacts (i.e., container image, dependencies, SAST and DAST scan) prior to the deployment in the CI/CD workflow
- Deploy vulnerability assessment and threat detection capability into the production environment and continuously use these capabilities in the run-time.","Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets"
"PV-6",Applications,7,"7.7","Remediate detected vulnerabilities in software through processes and tooling on a monthly, or more frequent, basis, based on the remediation process.",0,1,1,"Rapidly and automatically remediate  vulnerabilities",Equivalent,Respond,"Rapidly and automatically deploy patches and updates to remediate vulnerabilities in your cloud resources. Use the appropriate risk-based approach to prioritize the remediation of the vulnerabilities, e.g., more severe vulnerabilities in a higher value asset should be addressed as a higher priority. ","Remediate Detected Vulnerabilities"
"DS-6",Applications,7,"7.7","Remediate detected vulnerabilities in software through processes and tooling on a monthly, or more frequent, basis, based on the remediation process.",0,1,1,"Enforce security of workload throughout DevOps lifecycle",Subset,Respond,"Ensure the workload is secured throughout the entire lifecycle in development, testing, and deployment stage. Use Azure Security Benchmark to evaluate the controls (such as network security, identity management, privileged access and so on) that can be set as guardrails by default or shift left prior to the deployment stage. In particular, ensure the following controls are in place in your DevOps process: 
- Automate the deployment by using Azure or third-party tooling in the CI/CD workflow, infrastructure management (infrastructure as code), and testing to reduce human error and attack surface. 
- Ensure VM, container images and other artifacts are secure from malicious manipulation. 
- Scan the workload artifacts (i.e., container image, dependencies, SAST and DAST scan) prior to the deployment in the CI/CD workflow
- Deploy vulnerability assessment and threat detection capability into the production environment and continuously use these capabilities in the run-time.","Remediate Detected Vulnerabilities"
"GS-7",Network,8,"8.1","Establish and maintain an audit log management process that defines the enterprise’s logging requirements. At a minimum, address the collection, review, and retention of audit logs for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",1,1,1,"Define and implement logging, threat detection and incident response strategy",Subset,Protect,"N/A
","Establish and Maintain an Audit Log Management Process"
"LT-3",Network,8,"8.2","Collect audit logs. Ensure that logging, per the enterprise’s audit log management process, has been enabled across enterprise assets.",1,1,1,"Enable logging for security investigation",Superset,Detect,"Enable logging for your cloud resources to meet the requirements for security incident investigations and security response and compliance purposes.","Collect Audit Logs"
"LT-4",Network,8,"8.2","Collect audit logs. Ensure that logging, per the enterprise’s audit log management process, has been enabled across enterprise assets.",1,1,1,"Enable network logging for security investigation",Superset,Detect,"Enable logging for your network services to support network-related incident investigations, threat hunting, and security alert generation. The network logs may include logs from network services such as IP filtering, network and application firewall, DNS, flow monitoring and so on.","Collect Audit Logs"
"DS-7",Network,8,"8.2","Collect audit logs. Ensure that logging, per the enterprise’s audit log management process, has been enabled across enterprise assets.",1,1,1,"Enable logging and monitoring in DevOps",Superset,Detect,"Ensure your logging and monitoring scope includes non-production environments and CI/CD workflow elements used in DevOps (and any other development processes). The vulnerabilities and threats targeting these environments can introduce significant risks to your production environment if they are not monitored properly. The events from the CI/CD build, test and deployment workflow should also be monitored to identify any deviations in the CI/CD workflow jobs. ","Collect Audit Logs"
"LT-6",Network,8,"8.3","Ensure that logging destinations maintain adequate storage to comply with the enterprise’s audit log management process.",1,1,1,"Configure log storage retention",Subset,Protect,"Plan your log retention strategy according to your compliance, regulation, and business requirements. Configure the log retention policy at the individual logging services to ensure the logs are archived appropriately.","Ensure Adequate Audit Log Storage"
"LT-7",Network,8,"8.4","Standardize time synchronization. Configure at least two synchronized time sources across enterprise assets, where supported.",0,1,1,"Use approved time synchronization sources",Equivalent,Protect,"Ensure  approved time synchronization sources are used for your logging time stamp which should include date, time and time zone information.","Standardize Time Synchronization"
"LT-3",Network,8,"8.5","Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation.",0,1,1,"Enable logging for security investigation",Superset,Detect,"Enable logging for your cloud resources to meet the requirements for security incident investigations and security response and compliance purposes.","Collect Detailed Audit Logs"
"LT-4",Network,8,"8.5","Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation.",0,1,1,"Enable network logging for security investigation
",Superset,Detect,"Enable logging for your network services to support network-related incident investigations, threat hunting, and security alert generation. The network logs may include logs from network services such as IP filtering, network and application firewall, DNS, flow monitoring and so on.","Collect Detailed Audit Logs"
"DS-7",Network,8,"8.5","Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation.",0,1,1,"Enable logging and monitoring in DevOps",Superset,Detect,"Ensure your logging and monitoring scope includes non-production environments and CI/CD workflow elements used in DevOps (and any other development processes). The vulnerabilities and threats targeting these environments can introduce significant risks to your production environment if they are not monitored properly. The events from the CI/CD build, test and deployment workflow should also be monitored to identify any deviations in the CI/CD workflow jobs. ","Collect Detailed Audit Logs"
"LT-4",Network,8,"8.6","Collect DNS query audit logs on enterprise assets, where appropriate and supported.",0,1,1,"Enable network logging for security investigation
",Superset,Detect,"Enable logging for your network services to support network-related incident investigations, threat hunting, and security alert generation. The network logs may include logs from network services such as IP filtering, network and application firewall, DNS, flow monitoring and so on.","Collect DNS Query Audit Logs"
"LT-4",Network,8,"8.7","Collect URL request audit logs on enterprise assets, where appropriate and supported.",0,1,1,"Enable network logging for security investigation
",Superset,Detect,"Enable logging for your network services to support network-related incident investigations, threat hunting, and security alert generation. The network logs may include logs from network services such as IP filtering, network and application firewall, DNS, flow monitoring and so on.","Collect URL Request Audit Logs"
,Devices,8,"8.8","Collect command-line audit logs. Example implementations include collecting audit logs from PowerShell®, BASH™, and remote administrative terminals.",0,1,1,,,Detect,,"Collect Command-Line Audit Logs"
"LT-5",Network,8,"8.9","Centralize, to the extent possible, audit log collection and retention across enterprise assets.",0,1,1,"Centralize security log management and analysis",Equivalent,Detect,"Centralize logging storage and analysis to enable correlation across log data. For each log source, ensure that you have assigned a data owner, access guidance, storage location, what tools are used to process and access the data, and data retention requirements.","Centralize Audit Logs"
"DS-7",Network,8,"8.9","Centralize, to the extent possible, audit log collection and retention across enterprise assets.",0,1,1,"Enable logging and monitoring in DevOps",Superset,Detect,"Ensure your logging and monitoring scope includes non-production environments and CI/CD workflow elements used in DevOps (and any other development processes). The vulnerabilities and threats targeting these environments can introduce significant risks to your production environment if they are not monitored properly. The events from the CI/CD build, test and deployment workflow should also be monitored to identify any deviations in the CI/CD workflow jobs. ","Centralize Audit Logs"
"LT-6",Network,8,"8.10","Retain audit logs across enterprise assets for a minimum of 90 days.",0,1,1,"Configure log storage retention",Equivalent,Protect,"Plan your log retention strategy according to your compliance, regulation, and business requirements. Configure the log retention policy at the individual logging services to ensure the logs are archived appropriately.","Retain Audit Logs"
"LT-1",Network,8,"8.11","Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis.",0,1,1,"Enable threat detection capabilities",Subset,Detect,"Monitor different types of threats and anomalies against different resource types in cloud. Configure your alert filtering and analytics rules to extract high-quality alerts from log data, agents, or other data sources to reduce false positives.","Conduct Audit Log Reviews"
"LT-2",Network,8,"8.11","Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis.",0,1,1,"Enable threat detection for  identity and access management",Subset,Detect,"Detect threats for identities and access management by monitoring the user and application sign-in and access anomalies. Behavioral patterns such as excessive number of failed login attempts, and deprecated accounts in the subscription should be alerted. ","Conduct Audit Log Reviews"
"LT-5",Network,8,"8.11","Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis.",0,1,1,"Centralize security log management and analysis",Subset,Detect,"Centralize logging storage and analysis to enable correlation across log data. For each log source, ensure that you have assigned a data owner, access guidance, storage location, what tools are used to process and access the data, and data retention requirements.","Conduct Audit Log Reviews"
"DS-7",Network,8,"8.11","Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis.",0,1,1,"Enable logging and monitoring in DevOps",Subset,Detect,"Ensure your logging and monitoring scope includes non-production environments and CI/CD workflow elements used in DevOps (and any other development processes). The vulnerabilities and threats targeting these environments can introduce significant risks to your production environment if they are not monitored properly. The events from the CI/CD build, test and deployment workflow should also be monitored to identify any deviations in the CI/CD workflow jobs. ","Conduct Audit Log Reviews"
"LT-3",Data,8,"8.12","Collect service provider logs, where supported. Example implementations include collecting authentication and authorization events, data creation and disposal events, and user management events.",0,0,1,"Enable logging for security investigation",Superset,Detect,"Enable logging for your cloud resources to meet the requirements for security incident investigations and security response and compliance purposes.","Collect Service Provider Logs"
,Applications,9,"9.1","Ensure only fully supported browsers and email clients are allowed to execute in the enterprise, only using the latest version of browsers and email clients provided through the vendor.",1,1,1,,,Protect,,"Ensure Use of Only Fully Supported Browsers and Email Clients"
"NS-10",Network,9,"9.2","Use DNS filtering services on all enterprise assets to block access to known malicious domains.",1,1,1,"Ensure Domain Name System (DNS) security",Subset,Protect,"Ensure Domain Name System (DNS) security configuration protects against known risks:
- Use trusted authoritative and recursive DNS services across your cloud environment to ensure the client (such as operating systems and applications) receive the correct resolution result. 
- Separate the public and private DNS resolution so the DNS resolution process for the private network can be isolated from the public network.
- Ensure your DNS security strategy also includes mitigations against common attacks like dangling DNS, DNS amplifications attacks, DNS poisoning and spoofing, etc.","Use DNS Filtering Services"
,Network,9,"9.3","Enforce and update network-based URL filters to limit an enterprise asset from connecting to potentially malicious or unapproved websites. Example implementations include category-based filtering, reputation-based filtering, or through the use of block lists. Enforce filters for all enterprise assets.",0,1,1,,,Protect,,"Maintain and Enforce Network-Based URL Filters"
,Applications,9,"9.4","Restrict, either through uninstalling or disabling, any unauthorized or unnecessary browser or email client plugins, extensions, and add-on applications.",0,1,1,,,Protect,,"Restrict Unnecessary or Unauthorized Browser and Email Client Extensions"
,Network,9,"9.5","To lower the chance of spoofed or modified emails from valid domains, implement DMARC policy and verification, starting with implementing the Sender Policy Framework (SPF) and the DomainKeys Identified Mail (DKIM) standards.",0,1,1,,,Protect,,"Implement DMARC"
,Network,9,"9.6","Block unnecessary file types attempting to enter the enterprise’s email gateway.",0,1,1,,,Protect,,"Block Unnecessary File Types"
,Network,9,"9.7","Deploy and maintain email server anti-malware protections, such as attachment scanning and/or sandboxing.",0,0,1,,,Protect,,"Deploy and Maintain Email Server Anti-Malware Protections"
"ES-2",Devices,10,"10.1","Deploy and maintain anti-malware software on all enterprise assets.",1,1,1,"Use modern anti-malware software",Equivalent,Protect,"Use anti-malware solutions capable of real-time protection and periodic scanning.","Deploy and Maintain Anti-Malware Software"
"GS-9",Devices,10,"10.1","Deploy and maintain anti-malware software on all enterprise assets.",1,1,1,"Define and implement  endpoint security strategy",Subset,Protect,"N/A
","Deploy and Maintain Anti-Malware Software"
"ES-3",Devices,10,"10.2","Configure automatic updates for anti-malware signature files on all enterprise assets.",1,1,1,"Ensure anti-malware software and signatures are updated",Equivalent,Protect,"Ensure anti-malware signatures are updated rapidly and consistently for the anti-malware solution.","Configure Automatic Anti-Malware Signature Updates"
,Devices,10,"10.3","Disable autorun and autoplay auto-execute functionality for removable media.",1,1,1,,,Protect,,"Disable Autorun and Autoplay for Removable Media"
,Devices,10,"10.4","Configure anti-malware software to automatically scan removable media.",0,1,1,,,Detect,,"Configure Automatic Anti-Malware Scanning of Removable Media"
,Devices,10,"10.5","Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft® Data Execution Prevention (DEP), Windows® Defender Exploit Guard (WDEG), or Apple® System Integrity Protection (SIP) and Gatekeeper™.",0,1,1,,,Protect,,"Enable Anti-Exploitation Features"
,Devices,10,"10.6","Centrally manage anti-malware software.",0,1,1,,,Protect,,"Centrally Manage Anti-Malware Software"
,Devices,10,"10.7","Use behavior-based anti-malware software.",0,1,1,,,Detect,,"Use Behavior-Based Anti-Malware Software"
"GS-8",Data,11,"11.1","Establish and maintain a data recovery process. In the process, address the scope of data recovery activities, recovery prioritization, and the security of backup data. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard. ",1,1,1,"Define and implement backup and recovery strategy",Equivalent,Recover,"N/A
","Establish and Maintain a Data Recovery Process "
"BR-1",Data,11,"11.2","Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data.",1,1,1,"Ensure regular automated backups",Equivalent,Recover,"Ensure backup of business-critical resources either during resource creation or enforced through policy for existing resources.","Perform Automated Backups "
"BR-2",Data,11,"11.3","Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements.",1,1,1,"Protect backup and recovery data",Equivalent,Protect,"Ensure backup data and operations are protected from data exfiltration, data compromise, ransomware/malware and malicious insiders. The security controls that should be applied include user and network access control, data encryption at-rest and in-transit. ","Protect Recovery Data"
"BR-3",Data,11,"11.3","Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements.",1,1,1,"Monitor backups",Superset,Protect,"Ensure all business-critical protectable resources are backup compliant.","Protect Recovery Data"
,Data,11,"11.4","Establish and maintain an isolated instance of recovery data. Example implementations include, version controlling backup destinations through offline, cloud, or off-site systems or services.",1,1,1,,,Recover,,"Establish and Maintain an Isolated Instance of Recovery Data "
"BR-4",Data,11,"11.5","Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets.",0,1,1,"Regularly test backup",Equivalent,Recover,"Periodically perform data recovery test of your backup to verify that the backup configurations and availability of the backup data meets the recovery needs as per defined in the RTO and RPO.","Test Data Recovery"
,Network,12,"12.1","Ensure network infrastructure is kept up-to-date. Example implementations include running the latest stable release of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions monthly, or more frequently, to verify software support.",1,1,1,,,Protect,,"Ensure Network Infrastructure is Up-to-Date"
"GS-4",Network,12,"12.2","Establish and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum.",0,1,1,"Define and implement network security strategy",Subset,Protect,"N/A
","Establish and Maintain a Secure Network Architecture"
,Network,12,"12.3","Securely manage network infrastructure. Example implementations include version-controlled-infrastructure-as-code, and the use of secure network protocols, such as SSH and HTTPS. ",0,1,1,,,Protect,,"Securely Manage Network Infrastructure"
"GS-4",Network,12,"12.4","Establish and maintain architecture diagram(s) and/or other network system documentation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.",0,1,1,"Define and implement network security strategy",Subset,Identify,"N/A
","Establish and Maintain Architecture Diagram(s)"
"IM-1",Network,12,"12.5","Centralize network AAA.",0,1,1,"Use centralized identity and authentication system",Equivalent,Protect,"Use a centralized identity and authentication system to govern organization's identities and authentications for cloud and non-cloud resources. 
","Centralize Network Authentication, Authorization, and Auditing (AAA)"
"IM-5",Network,12,"12.5","Centralize network AAA.",0,1,1,"Use single sign-on (SSO) for application access",Superset,Protect,"Use single sign-on (SSO) to simplify the user experience for authenticating to resources including applications and data across cloud services and on-premises environments.","Centralize Network Authentication, Authorization, and Auditing (AAA)"
"IM-9",Network,12,"12.5","Centralize network AAA.",0,1,1,"Secure user access to  existing applications",Subset,Protect,"In a hybrid environment where you have on-premises applications or non-native cloud applications using legacy authentication, consider solutions such as cloud access security broker (CASB), application proxy, single sign-on (SSO)  to govern the access to these applications for the following benefits:
- Enforce a centralized strong authentication
- Monitor and control risky end-user activities 
- Monitor and remediate risky legacy applications activities
- Detect and prevent sensitive data transmission","Centralize Network Authentication, Authorization, and Auditing (AAA)"
,Network,12,"12.6","Use secure network management and communication protocols (e.g., 802.1X, Wi-Fi Protected Access 2 (WPA2) Enterprise or greater).",0,1,1,,,Protect,,"Use of Secure Network Management and Communication Protocols "
"NS-9",Devices,12,"12.7","Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise resources on end-user devices.",0,1,1,"Connect on-premises or cloud network privately 
",Superset,Protect,"Use private connections for secure communication between different networks such as cloud service provider datacenters and on-premises infrastructure in a colocation environment.","Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure"
"PA-6",Devices,12,"12.8","Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative tasks or tasks requiring administrative access. The computing resources should be segmented from the enterprise's primary network and not be allowed internet access.",0,0,1,"Use privileged access workstations",Equivalent,Protect,"Secured, isolated workstations are critically important for the security of sensitive roles like administrator, developer, and critical service operator.  ","Establish and Maintain Dedicated Computing Resources for All Administrative Work"
