ssphp.use_case.id,ssphp.use_case.foundational_system,ssphp.use_case.savedsearch,ssphp.use_case.short_description,ssphp.cis_benchmark.control.title,ssphp.use_case.title,ssphp.cis_benchmark.control.profile_applicability,ssphp.cis_benchmark.control.level,ssphp.cis_benchmark.control.number,ssphp.cis_benchmark.control.group,ssphp.cis_benchmark.control.description,ssphp.cis_benchmark.control.rationale,ssphp.cis_benchmark.control.impact,ssphp.cis_benchmark.controls.ig1,ssphp.cis_benchmark.controls.ig2,ssphp.cis_benchmark.controls.ig3,ssphp.use_case.framework.ig_1,ssphp.use_case.framework.ig_2,ssphp.use_case.framework.ig_3,ssphp.cis_benchmark.controls.v8,ssphp.cis_benchmark.document.date,ssphp.cis_benchmark.document.name,ssphp.cis_benchmark.document.version,ssphp.cis_benchmark.version,ssphp.metadata.last_updated_by,ssphp.metadata.last_updated_date,ssphp.risk.expectancy,ssphp.risk.impact,ssphp.score.scoring_narrative,ssphp.score.threshold.green,ssphp.score.threshold.orange,ssphp.score.threshold.red,ssphp.score.ciso_priority,ssphp.use_case.control,ssphp.use_case.description
m365_001_cis_1-1-15,M365,ssphp_use_case_m365_001_cis_1-1-15,Privileged Identity Role Management,Ensure 'Privileged Identity Management' is used to manage roles,M365 001 [CIS 1.1.15],E5 Level 2,L2,1.1.15,Account / Authentication,"Azure Active Directory Privileged Identity Management can be used to audit roles, allow just in time activation of roles and allow for periodic role attestation. Organizations should remove permanent members from privileged Office 365 roles and instead make them eligible, through a JIT activation workflow","Organizations want to minimize the number of people who have access to secure information or resources, because that reduces the chance of a malicious actor getting that access, or an authorized user inadvertently impacting a sensitive resource. However, users still need to carry out privileged operations in Azure AD and Office 365. Organizations can give users just-in-time (JIT) privileged access to roles. There is a need for oversight for what those users are doing with their administrator privileges. PIM helps to mitigate the risk of excessive, unnecessary, or misused access rights","Implementation of Just in Time privileged access is likely to necessitate changes to administrator routine. Administrators will only be granted access to administrative roles when required. When administrators request role activation, they will need to document the reason for requiring role access, anticipated time required to have the access, and to reauthenticate to enable role access",TRUE,TRUE,TRUE,"6.1
6.2","6.1
6.2","6.1
6.2","6.1 Establish an Access Granting Process
6.2 Establish an Access Revoking Process",31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,19/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-16,M365,ssphp_use_case_m365_001_cis_1-1-16,Organisation Public Groups,Ensure that only organizationally managed/approved public groups exist,M365 001 [CIS 1.1.16],E3 Level 2,L2,1.1.16,Account / Authentication,"Microsoft 365 Groups is the foundational membership service that drives all teamwork across Microsoft 365. With Microsoft 365 Groups, you can give a group of people access to a collection of shared resources. While there are several different types of group types this recommendation is concerned with Microsoft 365 Groups. In the Administration panel, when a group is created, the default privacy value is ""Public"".","Ensure that only organizationally managed and approved public groups exist. When a group has a ""public"" privacy, users may access data related to this group (e.g. SharePoint), through three methods: By using the Azure portal, and adding themselves into the public group, By requesting access to the group from the Group application of the Access Panel, By accessing the SharePoint URL Administrators are notified when a user uses the Azure Portal. Requesting access to the group forces users to send a message to the group owner, but they still have immediately access to the group. The SharePoint URL is usually guessable, and can be found from the Group application of the Access Panel. If group privacy is not controlled, any user may access sensitive information, according to the group they try to access. NOTE: Public in this case meaning public to the identities within organization.","If the recommendation is applied, group owners could receive more access requests than usual, especially regarding groups originally meant to be public.",TRUE,TRUE,TRUE,3.3,3.3,3.3,3.3 Configure Data Access Control Lists,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-17,M365,ssphp_use_case_m365_001_cis_1-1-17,Collaboration Invitations,Ensure that collaboration invitations are sent to allowed domains only,M365 001 [CIS 1.1.17],E3 Level 2,L2,1.1.17,Account / Authentication,"Azure Active Directory (Azure AD) B2B collaboration is a feature within External Identities allows for guest invitations to an organization. Ensure users can only send invitations to specified domains. NOTE: This list works independently from OneDrive for Business and SharePoint Online allow/block lists. To restrict individual file sharing in SharePoint Online, set up an allow or blocklist for OneDrive for Business and SharePoint Online. For instance, in SharePoint or OneDrive users can still share with external users from prohibited domains by using Anyone links if they haven't been disabled.","By specifying allowed domains for collaborations, external users companies are explicitly identified. Also, this prevents internal users from inviting unknown external users such as personal accounts and give them access to resources.","This could make harder collaboration if the setting is not quickly updated when a new domain is identified as ""allowed"".",TRUE,TRUE,TRUE,6.1,6.1,6.1,6.1 Establish an Access Granting Process,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-18,M365,ssphp_use_case_m365_001_cis_1-1-18,LinkedIn Account Connections,Ensure 'LinkedIn account connections' is disabled,M365 001 [CIS 1.1.18],E3 Level 2,L2,1.1.18,Account / Authentication,"LinkedIn account connections allow users to connect their Microsoft work or school account with LinkedIn. After a user connects their accounts, information and highlights from LinkedIn are available in some Microsoft apps and services.",Disabling LinkedIn integration prevents potential phishing attacks and risk scenarios where an external party could accidentally disclose sensitive information.,Users will not be able to sync contacts or use LinkedIn integration.,FALSE,TRUE,TRUE,-,4.8,4.8,4.8 Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-19,M365,ssphp_use_case_m365_001_cis_1-1-19,Hide Option to Remain Signed In,Ensure the option to remain signed in is hidden,M365 001 [CIS 1.1.19],E3 Level 2,L2,1.1.19,Account / Authentication,"The option for the user to Stay signed in or the Keep me signed in option will prompt a user after a successful login, when the user selects this option a persistent refresh token is created. Typically this lasts for 90 days and does not prompt for sign-in or Multi Factor.","Allowing users to select this option presents risk, especially in the event that the user signs into their account on a publicly accessible computer/web browser. In this case it would be trivial for an unauthorized person to gain access to any associated cloud data from that account.","Once this setting is hidden users will no longer be prompted upon sign-in with the message Stay signed in?. This may mean users will be forced to sign in more frequently. Important: some features of SharePoint Online and Office 2010 have a dependency on users remaining signed in. If you hide this option, users may get additional and unexpected sign in prompts.",FALSE,FALSE,FALSE,-,-,-,-,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-2,M365,ssphp_use_case_m365_001_cis_1-1-2,M365 Admins have MFA,Ensure multifactor authentication is enabled for all users in administrative roles,M365 001 [CIS 1.1.2],E3 Level 1,L1,1.1.2,Account / Authentication,"Multi-factor authentication is a process that requires an additional form of identification during the sign-in process, such as a code from a mobile device or a fingerprint scan, to enhance security. Ensure users in administrator roles have MFA capabilities enabled.","Multifactor authentication requires an individual to present a minimum of two separate forms of authentication before access is granted. Multifactor authentication provides additional assurance that the individual attempting to gain access is who they claim to be. With multifactor authentication, an attacker would need to compromise at least two different authentication mechanisms, increasing the difficulty of compromise and thus reducing the risk.","Implementation of multifactor authentication for all users in administrative roles will necessitate a change to user routine. All users in administrative roles will be required to enroll in multifactor authentication using phone, SMS, or an authentication application. After enrollment, use of multifactor authentication will be required for future access to the environment.",TRUE,TRUE,TRUE,6.5,6.5,6.5,6.5 Require MFA for Administrative Access,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,1,,
m365_001_cis_1-1-20,M365,ssphp_use_case_m365_001_cis_1-1-20,Restrict access to the AAD admin portal,Ensure 'Restrict access to the Azure AD administration portal' is set to 'Yes',M365 001 [CIS 1.1.20],E3 Level 1,L1,1.1.20,Account / Authentication,Restrict non-privileged users from signing into the Azure Active Directory portal. NOTE: This recommendation only affects access to the Azure AD web portal. It does not prevent privileged users from using other methods such as Rest API or PowerShell to obtain information. Those attack channels are addressed elsewhere in this document.,"The Azure AD administrative (AAD) portal contains sensitive data and permission settings, which are still enforced based on the user's role. However, an end user may inadvertently change properties or account settings that could result in increased administrative overhead. Additionally, a compromised end user account could be used by a malicious attacker as a means to gather additional information and escalate an attack. NOTE: Users will still be able to sign into Azure Active directory admin center but will be unable to see directory information.",-,FALSE,FALSE,FALSE,-,-,-,-,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,3,,
m365_001_cis_1-1-21,M365,ssphp_use_case_m365_001_cis_1-1-21,Restrict access to Azure Management,Ensure 'Microsoft Azure Management' is limited to administrative roles,M365 001 [CIS 1.1.21],E3 Level 1,L1,1.1.21,Account / Authentication,"The Microsoft Azure Management application governs various Azure services and can be secured through the implementation of a Conditional Access policy. This policy can restrict specific user accounts from accessing the related portals and applications. When Conditional Access policy is targeted to the Microsoft Azure Management application, within the Conditional Access policy app picker the policy will be enforced for tokens issued to application IDs of a set of services closely bound to the portal. Azure Resource Manager, Azure portal, which also covers the Microsoft Entra admin center, Azure Data Lake, Application Insights API, Log Analytics API Microsoft Azure Management should be restricted to specific pre-determined administrative roles. NOTE: Blocking Microsoft Azure Management will prevent non-privileged users from signing into most portals other than Microsoft 365 Defender and Microsoft Purview.","Blocking sign-in to Azure Management applications and portals enhances security of sensitive data by restricting access to privileged users. This mitigates potential exposure due to administrative errors or software vulnerabilities, as well as acting as a defense in depth measure against security breaches.","Because the policy is applied to the Azure management portal and API, services, or clients with an Azure API service dependency, can indirectly be impacted. For example: Classic deployment model APIs, Azure PowerShell, Azure CLI, Azure DevOps, Azure Data Factory portal, Azure Event Hubs, Azure Service Bus, Azure SQL Database, SQL Managed Instance, Azure Synapse, Visual Studio subscriptions administrator portal, Microsoft IoT Central",FALSE,FALSE,FALSE,-,-,-,-,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,2,,
m365_001_cis_1-1-22,M365,ssphp_use_case_m365_001_cis_1-1-22,Non-Admins Creating Tenants,Ensure 'Restrict non-admin users from creating tenants' is set to 'Yes',M365 001 [CIS 1.1.22],E3 Level 1,L1,1.1.22,Account / Authentication,Non-privileged users can create tenants in the Azure AD and Entra administration portal under Manage tenant. The creation of a tenant is recorded in the Audit log as category DirectoryManagement and activity Create Company. Anyone who creates a tenant becomes the Global Administrator of that tenant. The newly created tenant doesn't inherit any settings or configurations.,"Restricting tenant creation prevents unauthorized or uncontrolled deployment of resources and ensures that the organization retains control over its infrastructure. User generation of shadow IT could lead to multiple, disjointed environments that can make it difficult for IT to manage and secure the organization's data, especially if other users in the organization began using these tenants for business purposes under the misunderstanding that they were secured by the organization's security team.",-,FALSE,FALSE,FALSE,-,-,-,-,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,2,,
m365_001_cis_1-1-3,M365,ssphp_use_case_m365_001_cis_1-1-3,Sign-in Frequency,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,M365 001 [CIS 1.1.3],E3 Level 1,L1,1.1.3,Account / Authentication,"In complex deployments, organizations might have a need to restrict authentication sessions. Conditional Access policies allow for the targeting of specific user accounts. Some scenarios might include: Resource access from an unmanaged or shared device, Access to sensitive information from an external network, High-privileged users, Business-critical applications Ensure Sign-in frequency does not exceed 4 hours for E3 tenants, or 24 hours for E5 tenants using Privileged Identity Management. Ensure Persistent browser session is set to Never persist NOTE: This CA policy can be added to the previous CA policy in this benchmark ""Ensure multifactor authentication is enabled for all users in administrative roles""","Forcing a time out for MFA will help ensure that sessions are not kept alive for an indefinite period of time, ensuring that browser sessions are not persistent will help in prevention of drive-by attacks in web browsers, this also prevents creation and saving of session cookies leaving nothing for an attacker to take.",Users with Administrative roles will be prompted at the frequency set for MFA.,TRUE,TRUE,TRUE,4.3,4.3,4.3,4.3 Configure Automatic Session Locking on Enterprise Assets,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,2,,
m365_001_cis_1-1-4,M365,ssphp_use_case_m365_001_cis_1-1-4,M365 All Users have MFA,Ensure multifactor authentication is enabled for all users,M365 001 [CIS 1.1.4],E3 Level 1,L1,1.1.4,Account / Authentication,"Enable multifactor authentication for all users in the Microsoft 365 tenant. Users will be prompted to authenticate with a second factor upon logging in to Microsoft 365 services. The second factor is most commonly a text message to a registered mobile phone number where they type in an authorization code, or with a mobile application like Microsoft Authenticator.","Multifactor authentication requires an individual to present a minimum of two separate forms of authentication before access is granted. Multifactor authentication provides additional assurance that the individual attempting to gain access is who they claim to be. With multifactor authentication, an attacker would need to compromise at least two different authentication mechanisms, increasing the difficulty of compromise and thus reducing the risk.","Implementation of multifactor authentication for all users will necessitate a change to user routine. All users will be required to enroll in multifactor authentication using phone, SMS, or an authentication application. After enrollment, use of multifactor authentication will be required for future authentication to the environment.  NOTE: Organizations that have difficulty enforcing MFA globally due lack of the budget to provide company owned mobile devices to every user, or equally are unable to force end users to use their personal devices due to regulations, unions, or policy have another option. FIDO2 Security keys may be used as a stand in to this recommendation. They are more secure, phishing resistant, and are very affordable for an organization to issue to every end user.",FALSE,TRUE,TRUE,-,6.3,6.3,6.3 Require MFA for Externally-Exposed Applications,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-5,M365,ssphp_use_case_m365_001_cis_1-1-5,Microsoft Authenticator,Ensure Microsoft Authenticator is configured to protect against MFA fatigue,M365 001 [CIS 1.1.5],E3 Level 1,L1,1.1.5,Account / Authentication,"Microsoft has released additional settings to enhance the configuration of the Microsoft Authenticator application. These settings provide additional information and context to users who receive MFA passwordless and push requests, such as geographic location the request came from, the requesting application and requiring a number match.Ensure the following are Enabled. Require number matching for push notifications, Show application name in push and passwordless notifications, Show geographic location in push and passwordless notifications. NOTE: As February 27, 2023 Microsoft will start enforcing number matching tenantwide for all users using Microsoft Authenticator","As the use of strong authentication has become more widespread, attackers have started to exploit the tendency of users to experience ""MFA fatigue."" This occurs when users are repeatedly asked to provide additional forms of identification, leading them to eventually approve requests without fully verifying the source. To counteract this, number matching can be employed to ensure the security of the authentication process. With this method, users are prompted to confirm a number displayed on their original device and enter it into the device being used for MFA. Additionally, other information such as geolocation and application details are displayed to enhance the end user's awareness. Among these 3 options, number matching provides the strongest net security gain",-,TRUE,TRUE,TRUE,6.4,6.4,6.4,6.4 Require MFA for Remote Network Access,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,19/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,2,,
m365_001_cis_1-1-6,M365,ssphp_use_case_m365_001_cis_1-1-6,Phishing-resistant MFA strength for Admins,Ensure 'Phishing-resistant MFA strength' is required for Administrators,M365 001 [CIS 1.1.6],E3 Level 2,L2,1.1.6,Account / Authentication,"Authentication strength is a Conditional Access control that allows administrators to specify which combination of authentication methods can be used to access a resource. For example, they can make only phishing-resistant authentication methods available to access a sensitive resource. But to access a non-sensitive resource, they can allow less secure multifactor authentication (MFA) combinations, such as password + SMS. Microsoft has 3 built-in authentication strengths. MFA strength, Passwordless MFA strength, and Phishing-resistant MFA strength. Ensure administrator roles are using a CA policy with Phishing-resistant MFA strength. Administrators can then enroll using one of 3 methods: FIDO2 Security Key, Windows Hello for Business, Certificate-based authentication (Multi-Factor) NOTE: Additional steps to configure methods such as FIDO2 keys are not covered here but can be found in related MS articles in the references section. The Conditional Access policy only ensures 1 of the 3 methods is used. WARNING: Administrators should be pre-registered for a strong authentication mechanism before this Conditional Access Policy is enforced. Additionally, as stated elsewhere in the CIS Benchmark a break-glass administrator account should be excluded from this policy to ensure unfettered access in the case of an emergency",Sophisticated attacks targeting MFA are more prevalent as the use of it becomes more widespread. These 3 methods are considered phishing-resistant as they remove passwords from the login workflow. It also ensures that public/private key exchange can only happen between the devices and a registered provider which prevents login to fake or phishing websites.,"If administrators aren't pre-registered for a strong authentication method prior to a conditional access policy is created then a condition could occur where a user can't register for strong authentication because they don't meet the conditional access policy requirements, and therefore are prevented from signing in.",TRUE,TRUE,TRUE,6.5,6.5,6.5,6.5 Require MFA for Administrative Access,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,19/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-7,M365,ssphp_use_case_m365_001_cis_1-1-7,M365 Number of Global Admins,Ensure that between two and four global admins are designated,M365 001 [CIS 1.1.7],E3 Level 1,L1,1.1.7,Account / Authentication,"More than one global administrator should be designated so a single admin can be monitored and to provide redundancy should a single admin leave an organization. Additionally, there should be no more than four global admins set for any tenant. Ideally global administrators will have no licenses assigned to them.","If there is only one global tenant administrator, he or she can perform malicious activity without the possibility of being discovered by another admin. If there are numerous global tenant administrators, the more likely it is that one of their accounts will be successfully breached by an external attacker.","The potential impact associated with ensuring compliance with this requirement is dependent upon the current number of global administrators configured in the tenant. If there is only one global administrator in a tenant, an additional global administrator will need to be identified and configured. If there are more than four global administrators, a review of role requirements for current global administrators will be required to identify which of the users require global administrator access.",TRUE,TRUE,TRUE,5.1,5.1,5.1,5.1 Establish and Maintain an Inventory of Accounts,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,3,,
m365_001_cis_1-1-8,M365,ssphp_use_case_m365_001_cis_1-1-8,Self service password reset,Ensure 'Self service password reset enabled' is set to 'All',M365 001 [CIS 1.1.8],E3 Level 1,L1,1.1.8,Account / Authentication,"Enabling self-service password reset allows users to reset their own passwords in Azure AD. When users sign in to Microsoft 365, they will be prompted to enter additional contact information that will help them reset their password in the future. If combined registration is enabled additional information, outside of multi-factor, will not be needed.  NOTE: Effective Oct. 1st, 2022, Microsoft will begin to enable combined registration for all users in Azure AD tenants created before August 15th, 2020. Tenants created after this date are enabled with combined registration by default.","Users will no longer need to engage the helpdesk for password resets, and the password reset mechanism will automatically block common, easily guessable passwords.","Users will be required to provide additional contact information to enroll in self-service password reset. Additionally, minor user education may be required for users that are used to calling a help desk for assistance with password resets.  NOTE: This is unavailable if using Azure AD Connect / Sync in a hybrid environment.",FALSE,TRUE,TRUE,-,-,-,-,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-1-9,M365,ssphp_use_case_m365_001_cis_1-1-9,Custom Banned Password Lists,Ensure custom banned passwords lists are used,M365 001 [CIS 1.1.9],E3 Level 1,L1,1.1.9,Account / Authentication,"With Azure AD Password Protection, default global banned password lists are automatically applied to all users in an Azure AD tenant. To support business and security needs, custom banned password lists can be defined. When users change or reset their passwords, these banned password lists are checked to enforce the use of strong passwords. A custom banned password list should include some of the following examples: Brand names, Product names, Locations, such as company headquarters, Company-specific internal terms, Abbreviations that have specific company meaning","Creating a new password can be difficult regardless of one's technical background. It is common to look around one's environment for suggestions when building a password, however, this may include picking words specific to the organization as inspiration for a password. An adversary may employ what is called a 'mangler' to create permutations of these specific words in an attempt to crack passwords or hashes making it easier to reach their goal.","If a custom banned password list includes too many common dictionary words, or short words that are part of compound words, then perfectly secure passwords may be blocked. The organization should consider a balance between security and usability when creating a list.",TRUE,TRUE,TRUE,5.2,5.2,5.2,5.2 Use Unique Passwords,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,3,,
m365_001_cis_1-2,M365,ssphp_use_case_m365_001_cis_1-2,M365 Exchange Online Modern Authentication,Ensure modern authentication for Exchange Online is enabled,M365 001 [CIS 1.2],E3 Level 1,L1,1.2,Account / Authentication,"Modern authentication in Microsoft 365 enables authentication features like multifactor authentication (MFA) using smart cards, certificate-based authentication (CBA), and third-party SAML identity providers. When you enable modern authentication in Exchange Online, Outlook 2016 and Outlook 2013 use modern authentication to log in to Microsoft 365 mailboxes. When you disable modern authentication in Exchange Online, Outlook 2016 and Outlook 2013 use basic authentication to log in to Microsoft 365 mailboxes. When users initially configure certain email clients, like Outlook 2013 and Outlook 2016, they may be required to authenticate using enhanced authentication mechanisms, such as multifactor authentication. Other Outlook clients that are available in Microsoft 365 (for example, Outlook Mobile and Outlook for Mac 2016) always use modern authentication to log in to Microsoft 365 mailboxes.","Strong authentication controls, such as the use of multifactor authentication, may be circumvented if basic authentication is used by Exchange Online email clients such as Outlook 2016 and Outlook 2013. Enabling modern authentication for Exchange Online ensures strong authentication mechanisms are used when establishing sessions between email clients and Exchange Online.","Users of older email clients, such as Outlook 2013 and Outlook 2016, will no longer be able to authenticate to Exchange using Basic Authentication, which will necessitate migration to modern authentication practices.",FALSE,TRUE,TRUE,-,3.1,3.1,3.10 Encrypt Sensitive Data in Transit,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-3,M365,ssphp_use_case_m365_001_cis_1-3,SharePoint application authentication,Ensure modern authentication for SharePoint applications is required,M365 001 [CIS 1.3],E3 Level 1,L1,1.3,Account / Authentication,"Modern authentication in Microsoft 365 enables authentication features like multifactor authentication (MFA) using smart cards, certificate-based authentication (CBA), and third-party SAML identity providers","Strong authentication controls, such as the use of multifactor authentication, may be circumvented if basic authentication is used by SharePoint applications. Requiring modern authentication for SharePoint applications ensures strong authentication mechanisms are used when establishing sessions between these applications, SharePoint, and connecting users.",Implementation of modern authentication for SharePoint will require users to authenticate to SharePoint using modern authentication. This may cause a minor impact to typical user behavior.,FALSE,TRUE,TRUE,-,3.1,3.1,3.10 Encrypt Sensitive Data in Transit,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,20/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,-,,
m365_001_cis_1-4,M365,ssphp_use_case_m365_001_cis_1-4,Password expiration policy,Ensure the 'Password expiration policy' is set to 'Set passwords to never expire,M365 001 [CIS 1.4],E3 Level 1,L1,1.4,Account / Authentication,Microsoft cloud-only accounts have a pre-defined password policy that cannot be changed. The only items that can change are the number of days until a password expires and whether or not passwords expire at all.,"Organizations such as NIST and Microsoft have updated their password policy recommendations to not arbitrarily require users to change their passwords after a specific amount of time, unless there is evidence that the password is compromised or the user forgot it. They suggest this even for single factor (Password Only) use cases, with a reasoning that forcing arbitrary password changes on users actually make the passwords less secure. Other recommendations within this Benchmark suggest the use of MFA authentication for at least critical accounts (at minimum), which makes password expiration even less useful as well as password protection for Azure AD.","When setting passwords not to expire it is important to have other controls in place to supplement this setting. See below for related recommendations and user guidance : Ban common passwords, Educate users to not reuse organization passwords anywhere else, Enforce Multi-Factor Authentication registration for all users",TRUE,TRUE,TRUE,5.2,5.2,5.2,5.2 Use Unique Passwords,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,05/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,3,,
m365_001_cis_1-5,M365,ssphp_use_case_m365_001_cis_1-5,Seperate Admin Accounts for Cloud and On-Prem,Ensure Administrative accounts are separate and cloud only,M365 001 [CIS 1.5],E3 Level 1,L1,1.5,Account / Authentication,"Administrative accounts are special privileged accounts that could have varying levels of access to data, users, and settings. Regular user accounts should never be utilized for Administrative tasks and care should be taken, in the case of a hybrid environment, to keep Administrative accounts separated from on-prem accounts. Administrative accounts should not have applications assigned so that they have no access to potentially vulnerable services (EX. email, Teams, SharePoint, etc.) and only access to perform tasks as needed for Administrative purposes. Ensure administrative accounts are licensed without attached applications and cloud-only.","Ensuring administrative accounts are cloud-only, without applications assigned to them will reduce the attack surface of high privileged identities in your environment. In order to participate in Microsoft 365 security services such as Identity Protection, PIM and Conditional Access an administrative account will need a license attached to it. Ensure that the license used does not include any applications with potentially vulnerable services by using either Azure Premium P1 or Azure Premium P2 for the cloud-only account with administrator roles. In a hybrid environment, having separate accounts will help ensure that in the event of a breach in the cloud, that the breach does not affect the on-prem environment and viceversa","Administrative users will have to switch accounts and utilizing login/logout functionality when performing Administrative tasks, as well as not benefiting from SSO.",TRUE,TRUE,TRUE,5.4,5.4,5.4,5.4 Restrict Administrator Privileges to Dedicated Administrator Accounts,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,13/10/2023 08:55,5,5,"Score is the percentage of admin accounts where account is sync'd between cloud and on-prem. Best=100, Worst=0.",99,-,-,2,,
m365_001_cis_1-6,M365,ssphp_use_case_m365_001_cis_1-6,Emergency Access Accounts,Ensure two emergency access accounts have been defined,M365 001 [CIS 1.6],E3 Level 1,L1,1.6,Account / Authentication,,,,TRUE,TRUE,TRUE,5.1,5.1,5.1,5.1 Establish and Maintain an Inventory of Accounts,31/03/2023,CIS Microsoft 365 Foundations Benchmark,2.0.0,CIS v8,Ian Pearl,19/10/2023 12:00,5,5,"Score is 100 if control requirements are confirmed, otherwise 0. Best=100, Worst=0",99,-,-,3,,
