control,safeguard,title,asset_type,ig,description
17,17.3,Establish and Maintain an Enterprise Process for Reporting Incidents,N/A,1,"Establish and maintain an enterprise process for the workforce to report security incidents. The process includes reporting timeframe, personnel to report to, mechanism for reporting, and the minimum information to be reported. Ensure the process is publicly available to all of the workforce. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17,17.4,Establish and Maintain an Incident Response Process,N/A,2,"Establish and maintain an incident response process that addresses roles and responsibilities, compliance requirements, and a communication plan. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17,17.5,Assign Key Roles and Responsibilities,N/A,2,"Assign key roles and responsibilities for incident response, including staff from legal, IT, information security, facilities, public relations, human resources, incident responders, and analysts, as applicable. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17,17.6,Define Mechanisms for Communicating During Incident Response,N/A,2,"Determine which primary and secondary mechanisms will be used to communicate and report during a security incident. Mechanisms can include phone calls, emails, or letters. Keep in mind that certain mechanisms, such as emails, can be affected during a security incident. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17,17.7,Conduct Routine Incident Response Exercises,N/A,2,"Plan and conduct routine incident response exercises and scenarios for key personnel involved in the incident response process to prepare for responding to real-world incidents. Exercises need to test communication channels, decision making, and workflows. Conduct testing on an annual basis, at a minimum."
17,17.8,Conduct Post-Incident Reviews,N/A,2,Conduct post-incident reviews. Post-incident reviews help prevent incident recurrence through identifying lessons learned and follow-up action.
17,17.9,Establish and Maintain Security Incident Thresholds,N/A,3,"Establish and maintain security incident thresholds, including, at a minimum, differentiating between an incident and an event. Examples can include: abnormal activity, security vulnerability, security weakness, data breach, privacy incident, etc. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
18,18.1,Establish and Maintain a Penetration Testing Program,N/A,2,"Establish and maintain a penetration testing program appropriate to the size, complexity, and maturity of the enterprise. Penetration testing program characteristics include scope, such as network, web application, Application Programming Interface (API), hosted services, and physical premise controls; frequency; limitations, such as acceptable hours, and excluded attack types; point of contact information; remediation, such as how findings will be routed internally; and retrospective requirements."
18,18.2,Perform Periodic External Penetration Tests,Network,2,"Perform periodic external penetration tests based on program requirements, no less than annually. External penetration testing must include enterprise and environmental reconnaissance to detect exploitable information. Penetration testing requires specialized skills and experience and must be conducted through a qualified party. The testing may be clear box or opaque box."
18,18.3,Remediate Penetration Test Findings,Network,2,Remediate penetration test findings based on the enterprise's policy for remediation scope and prioritization.
18,18.4,Validate Security Measures,Network,3,"Validate security measures after each penetration test. If deemed necessary, modify rulesets and capabilities to detect the techniques used during testing."
18,18.5,Perform Periodic Internal Penetration Tests,N/A,3,"Perform periodic internal penetration tests based on program requirements, no less than annually. The testing may be clear box or opaque box."
